Figure,Panel,Public_file,Description,Variables,Unit,Public_scope,Notes
Figure 3,d,figure/figure3/d/class_counts.csv,Guangzhou bivariate class frequencies,"city, Age_Class, Fire_Class, Bi_Class, grid_count",grid cells,processed numerical source data,
Figure 3,e,figure/figure3/e/bivariate_grid.csv,Wuhan anonymous age/fire grid,"city, grid_row, grid_col, mean_building_age, building_count, fire_count, fire_metric, age_bin, fire_bin, bivariate_class",See data dictionary,processed numerical source data,Local grid indices do not encode a published geographic transform.
Figure 3,e,figure/figure3/e/class_counts.csv,Wuhan bivariate class frequencies,"city, Age_Class, Fire_Class, Bi_Class, grid_count",grid cells,processed numerical source data,
Figure 4,a,figure/figure4/Fig4a_conceptual_provenance.csv,Policy height thresholds,"panel, element, display_value, unit, role, source_attribution, status",See data dictionary,processed numerical source data,
Figure 4,b,figure/figure4/Fig4b_height_fire_relationship.csv,Height-bin counts and three normalized rates,"city, height_bin, building_count, fire_count, avg_height, valid_pop_building_count, total_pop, fire_count_pop_valid, Fire_per_1000_buildings, Per_Meter, Per_Person",See data dictionary,processed numerical source data,
Figure 5,a,figure/figure5/a/Fig5a_global_importance.csv,Global importance,"Rank, Feature, Mean_abs_SHAP",raw model-margin SHAP units,processed numerical source data,
Figure 5,b,figure/figure5/b/Fig5b_city_directional_importance.csv,City-specific directional importance,"City, Feature, Mean_abs_SHAP, Pearson_r_feature_SHAP, Directional_importance",raw model-margin SHAP units,processed numerical source data,
Figure 5,c,figure/figure5/c/Fig5_points_Projected_Area.csv,Projected_Area dependence points,"City, Feature, Feature_value, SHAP_value, used_in_panels",See data dictionary,processed numerical source data,Feature-specific points have no cross-feature observation key.
Figure 5,a,figure/figure5/c/Fig5_points_Projected_Area.csv,Projected_Area distribution points,"City, Feature, Feature_value, SHAP_value, used_in_panels",See data dictionary,processed numerical source data,Shared with the corresponding dependence panel.
Figure 5,d,figure/figure5/d/Fig5_points_Mean_Age_Score.csv,Mean_Age_Score dependence points,"City, Feature, Feature_value, SHAP_value, used_in_panels",See data dictionary,processed numerical source data,Feature-specific points have no cross-feature observation key.
Figure 5,a,figure/figure5/d/Fig5_points_Mean_Age_Score.csv,Mean_Age_Score distribution points,"City, Feature, Feature_value, SHAP_value, used_in_panels",See data dictionary,processed numerical source data,Shared with the corresponding dependence panel.
Figure 5,e,figure/figure5/e/Fig5_points_Height.csv,Height dependence points,"City, Feature, Feature_value, SHAP_value, used_in_panels",See data dictionary,processed numerical source data,Feature-specific points have no cross-feature observation key.
Figure 5,a,figure/figure5/e/Fig5_points_Height.csv,Height distribution points,"City, Feature, Feature_value, SHAP_value, used_in_panels",See data dictionary,processed numerical source data,Shared with the corresponding dependence panel.
Figure 5,f,figure/figure5/f/Fig5_points_Pop_Density.csv,Pop_Density dependence points,"City, Feature, Feature_value, SHAP_value, used_in_panels",See data dictionary,processed numerical source data,Feature-specific points have no cross-feature observation key.
Figure 5,a,figure/figure5/f/Fig5_points_Pop_Density.csv,Pop_Density distribution points,"City, Feature, Feature_value, SHAP_value, used_in_panels",See data dictionary,processed numerical source data,Shared with the corresponding dependence panel.
Figure 5,g,figure/figure5/g/Fig5_points_Price.csv,Price dependence points,"City, Feature, Feature_value, SHAP_value, used_in_panels",See data dictionary,processed numerical source data,Feature-specific points have no cross-feature observation key.
Figure 5,a,figure/figure5/g/Fig5_points_Price.csv,Price distribution points,"City, Feature, Feature_value, SHAP_value, used_in_panels",See data dictionary,processed numerical source data,Shared with the corresponding dependence panel.
Figure 5,h,figure/figure5/h/Fig5_points_Effective_Age.csv,Effective_Age dependence points,"City, Feature, Feature_value, SHAP_value, used_in_panels",See data dictionary,processed numerical source data,Feature-specific points have no cross-feature observation key.
Figure 5,a,figure/figure5/h/Fig5_points_Effective_Age.csv,Effective_Age distribution points,"City, Feature, Feature_value, SHAP_value, used_in_panels",See data dictionary,processed numerical source data,Shared with the corresponding dependence panel.
Figure 5,i,figure/figure5/i/Fig5_points_Plot_Ratio.csv,Plot_Ratio dependence points,"City, Feature, Feature_value, SHAP_value, used_in_panels",See data dictionary,processed numerical source data,Feature-specific points have no cross-feature observation key.
Figure 5,a,figure/figure5/i/Fig5_points_Plot_Ratio.csv,Plot_Ratio distribution points,"City, Feature, Feature_value, SHAP_value, used_in_panels",See data dictionary,processed numerical source data,Shared with the corresponding dependence panel.
Figure 5,j,figure/figure5/j/Fig5_points_Fee.csv,Fee dependence points,"City, Feature, Feature_value, SHAP_value, used_in_panels",See data dictionary,processed numerical source data,Feature-specific points have no cross-feature observation key.
Figure 5,a,figure/figure5/j/Fig5_points_Fee.csv,Fee distribution points,"City, Feature, Feature_value, SHAP_value, used_in_panels",See data dictionary,processed numerical source data,Shared with the corresponding dependence panel.
Figure 5,a,figure/figure5/a/Fig5_points_EUI.csv,EUI distribution points,"City, Feature, Feature_value, SHAP_value, used_in_panels",See data dictionary,processed numerical source data,
Figure 6,a,figure/figure6/Fig6_node_frequencies.csv,"Category frequencies, percentages and profile information","cluster_cn, cluster_en, case_count, layer, layer_en, rank, factor_cn, factor_en, raw_count, layer_total_count, layer_original_total_count, raw_pct, display_pct, is_others, others_components, excluded_zero_flow_components",See data dictionary,processed numerical source data,a: aging low-rise; b: high-rise vertical stock (super-high-rise profile).
Figure 6,a,figure/figure6/Fig6_cooccurrence_edges.csv,Profile-specific co-occurrence edges,"panel, cluster_cn, cluster_en, source_stage, source_term_cn, source_term_en, target_stage, target_term_cn, target_term_en, edge_type, cooccurrence_count",See data dictionary,processed numerical source data,a: aging low-rise; b: high-rise vertical stock (super-high-rise profile).
Figure 6,a,figure/figure6/Fig6_profiles.csv,Profile sample size and category display rule,"cluster_cn, cluster_en, case_count, panel, top_n",See data dictionary,processed numerical source data,a: aging low-rise; b: high-rise vertical stock (super-high-rise profile).
Figure 6,b,figure/figure6/Fig6_node_frequencies.csv,"Category frequencies, percentages and profile information","cluster_cn, cluster_en, case_count, layer, layer_en, rank, factor_cn, factor_en, raw_count, layer_total_count, layer_original_total_count, raw_pct, display_pct, is_others, others_components, excluded_zero_flow_components",See data dictionary,processed numerical source data,a: aging low-rise; b: high-rise vertical stock (super-high-rise profile).
Figure 6,b,figure/figure6/Fig6_cooccurrence_edges.csv,Profile-specific co-occurrence edges,"panel, cluster_cn, cluster_en, source_stage, source_term_cn, source_term_en, target_stage, target_term_cn, target_term_en, edge_type, cooccurrence_count",See data dictionary,processed numerical source data,a: aging low-rise; b: high-rise vertical stock (super-high-rise profile).
Figure 6,b,figure/figure6/Fig6_profiles.csv,Profile sample size and category display rule,"cluster_cn, cluster_en, case_count, panel, top_n",See data dictionary,processed numerical source data,a: aging low-rise; b: high-rise vertical stock (super-high-rise profile).
Table S1,table,figure/supplementary/tables/TableS1.csv,Supplementary Table S1,"city, building_count, total_floor_area_million_m2, median_height_m, median_age_years, population_10000_people",See data dictionary,processed numerical source data,
Table S3,table,figure/supplementary/tables/TableS3.csv,Supplementary Table S3,"keyword_group, chinese_terms, english_description",See data dictionary,processed numerical source data,
Table S5,table,figure/supplementary/tables/TableS5.csv,Supplementary Table S5,"predictor, meaning, definition, unit",See data dictionary,processed numerical source data,
Table S6,table,figure/supplementary/tables/TableS6.csv,Supplementary Table S6,"predictor, Pooled, Beijing, Shanghai, Guangzhou, Wuhan",See data dictionary,processed numerical source data,
Table S7,table,figure/supplementary/tables/TableS7.csv,Supplementary Table S7,"parameter, setting",See data dictionary,processed numerical source data,
Table S8,table,figure/supplementary/tables/TableS8.csv,Supplementary Table S8,"rank, predictor, mean_abs_shap",See data dictionary,processed numerical source data,
Table S2,table,figure/supplementary/tables/TableS2_field_definitions.csv,Inventory field definitions,"category, inventory_field, public_scope",See data dictionary,field definitions only,
Table S4,table,figure/supplementary/tables/TableS4/README.md,Representative narratives: Supplementary scope note,scope note,See data dictionary,examples within Supplementary; no raw corpus,
Figure S1,a,figure/supplementary/figureS1/README.md,Shanghai predictor maps,scope note,See data dictionary,reported aggregate / spatial scope note,Precise spatial information and third-party imagery are not redistributed.
Figure S1,b,figure/supplementary/figureS1/README.md,Shanghai predictor maps,scope note,See data dictionary,reported aggregate / spatial scope note,Precise spatial information and third-party imagery are not redistributed.
Figure S1,c,figure/supplementary/figureS1/README.md,Shanghai predictor maps,scope note,See data dictionary,reported aggregate / spatial scope note,Precise spatial information and third-party imagery are not redistributed.
Figure S1,d,figure/supplementary/figureS1/README.md,Shanghai predictor maps,scope note,See data dictionary,reported aggregate / spatial scope note,Precise spatial information and third-party imagery are not redistributed.
Figure S1,e,figure/supplementary/figureS1/README.md,Shanghai predictor maps,scope note,See data dictionary,reported aggregate / spatial scope note,Precise spatial information and third-party imagery are not redistributed.
Figure S1,f,figure/supplementary/figureS1/README.md,Shanghai predictor maps,scope note,See data dictionary,reported aggregate / spatial scope note,Precise spatial information and third-party imagery are not redistributed.
Figure S1,g,figure/supplementary/figureS1/README.md,Shanghai predictor maps,scope note,See data dictionary,reported aggregate / spatial scope note,Precise spatial information and third-party imagery are not redistributed.
Figure S1,h,figure/supplementary/figureS1/README.md,Shanghai predictor maps,scope note,See data dictionary,reported aggregate / spatial scope note,Precise spatial information and third-party imagery are not redistributed.
Figure S1,i,figure/supplementary/figureS1/README.md,Shanghai predictor maps,scope note,See data dictionary,reported aggregate / spatial scope note,Precise spatial information and third-party imagery are not redistributed.
Figure S2,all,figure/supplementary/figureS2/FigS2_reported_summary.csv,Building footprint validation,"metric, comparison, value, unit",See data dictionary,reported aggregate / spatial scope note,Precise spatial information and third-party imagery are not redistributed.
Figure S3,all,figure/supplementary/figureS3/FigS3_reported_summary.csv,Building function validation,"metric, comparison, value, unit",See data dictionary,reported aggregate / spatial scope note,Precise spatial information and third-party imagery are not redistributed.
Figure S4,all,figure/supplementary/figureS4/FigS4_reported_summary.csv,Building height validation,"metric, value, unit",See data dictionary,reported aggregate / spatial scope note,Precise spatial information and third-party imagery are not redistributed.
Figure S5,all,figure/supplementary/figureS5/FigS5_reported_summary.csv,Guangzhou event-building linkage,"metric, value, unit",See data dictionary,reported aggregate / spatial scope note,Precise spatial information and third-party imagery are not redistributed.
Figure S6,all,figure/supplementary/figureS6/FigS6_workflow_counts.csv,Workflow stage counts and manual-validation summary,"stage, n, unit",as defined per stage,processed numerical source data,
Figure S7,a,figure/supplementary/figureS7/FigS7_provincial_2020.csv,2020 official and social-sensing comparison,"year, province, official_share, weibo_dedup_events, weibo_share",fractions and event-proxy counts,processed numerical source data,
Figure S7,b,figure/supplementary/figureS7/FigS7_temporal_monthly_2020.csv,2020 official and social-sensing comparison,"year, month, official_share, weibo_dedup_events, weibo_share",fractions and event-proxy counts,processed numerical source data,
Figure S8,a,figure/supplementary/figureS8/FigS8_roc_curve.csv,Manuscript OOF diagnostic source data,"fpr, tpr, threshold",See data dictionary,processed numerical source data,
Figure S8,b,figure/supplementary/figureS8/FigS8_precision_recall_curve.csv,Manuscript OOF diagnostic source data,"recall, precision",See data dictionary,processed numerical source data,
Figure S8,c,figure/supplementary/figureS8/FigS8_calibration_bins.csv,Manuscript OOF diagnostic source data,"mean_predicted_probability, observed_fraction",See data dictionary,processed numerical source data,
Figure S8,d,figure/supplementary/figureS8/FigS8_risk_grade_derived_statistics.csv,Manuscript OOF diagnostic source data,"Risk_Grade, n, n_sif, incidence, incidence_ci_low, incidence_ci_high, event_capture_share",See data dictionary,processed numerical source data,
Figure S8,a-d,figure/supplementary/figureS8/FigS8_summary_metrics.csv,Reported and full-precision manuscript metrics,"metric, pooled, fold_mean, fold_sd, calculation_note, reported_value",See data dictionary,processed numerical source data,
Figure S9,a,figure/supplementary/figureS9/README.md,Spatial transfer application scope,scope note,See data dictionary,aggregate summary; precise map locations withheld,
Figure S9,b,figure/supplementary/figureS9/FigS9_cumulative_fire_capture.csv,Chongqing external-validation aggregate,"grades, observations, share_of_chongqing_observations_percent, positive_rows, cumulative_fire_share_percent",See data dictionary,processed numerical source data,
Figure S9,c,figure/supplementary/figureS9/FigS9_risk_grades.csv,Chongqing external-validation aggregate,"risk_grade, observations, positive_rows, incidence_per_1000_observations, wilson_lower_per_1000, wilson_upper_per_1000, relative_to_overall_incidence",See data dictionary,processed numerical source data,
Figure S9,a-c,figure/supplementary/figureS9/FigS9_metrics.csv,Chongqing external-validation aggregate,"dataset, metric, value",See data dictionary,processed numerical source data,
Figure S9,b-c,figure/supplementary/figureS9/FigS9_development_thresholds.csv,Chongqing external-validation aggregate,"development_quantile, cutoff, method",See data dictionary,processed numerical source data,
